from,to,amount,type,isFraud
C632336343,C834976624,330218.42,CASH_IN,0
C1264712553,M215391829,11647.08,PAYMENT,0
C1746846248,C1607284477,152264.21,CASH_IN,0
C333676753,C1564353608,1551760.63,TRANSFER,0
C813403091,C1091768874,78172.3,CASH_IN,0
C2002954533,M290849763,915.13,PAYMENT,0
C813757373,C823291717,20603.87,CASH_OUT,0
C1850864812,C618657299,58605.72,CASH_OUT,0
C886849972,M623175144,4865.11,PAYMENT,0
C390714641,C366360355,118131.63,CASH_OUT,0
C1514989792,C409578677,141100.88,CASH_OUT,0
C94444270,C379896225,384177.48,CASH_OUT,0
C513018655,C1302281681,153486.36,CASH_OUT,0
C122114408,C705120650,51042.59,CASH_OUT,0
C1810046508,M487081598,48691.16,PAYMENT,0
C1365498607,M969218364,36598.65,PAYMENT,0
C12524561,C579157353,124443.29,CASH_OUT,0
C1564771551,C718731643,510190.97,CASH_OUT,0
C1346570604,C1178934515,940927.27,TRANSFER,0
C807101143,C1531623971,240156.34,CASH_OUT,0
C346953986,C526046232,44360.26,CASH_OUT,0
C25552315,C75671301,338458.24,CASH_OUT,0
C200195468,C786997986,311748.24,CASH_IN,0
C1576094043,C1308477441,151.58,DEBIT,0
C1512675672,M1330826048,26565.95,PAYMENT,0
C1286124147,C1885613878,6.57,CASH_OUT,0
C1953063740,C212080696,23898.77,CASH_IN,0
C470767940,C598132143,26360.78,CASH_OUT,0
C709178804,C1163988187,192935.2,CASH_IN,0
C920671013,C1418884586,18801.43,TRANSFER,0
C633099116,M2117267163,3516.08,PAYMENT,0
C220437223,M1751641542,6987.8,PAYMENT,0
C1717919401,C645140627,8808.73,CASH_IN,0
C1353964860,M1059671726,24649.07,PAYMENT,0
C1894828300,C1975390043,97562.73,CASH_OUT,0
C544409289,C956338890,598680.17,TRANSFER,0
C88319926,C1971781194,218659.82,CASH_OUT,0
C893917810,C1327824794,304408.97,CASH_IN,0
C1405934398,M839389189,5090.28,PAYMENT,0
C800760258,C358043414,176016.04,CASH_OUT,0
C484951468,M1504624467,11605.7,PAYMENT,0
C982073663,C1216254870,234850.43,CASH_IN,0
C1647129298,C1714837024,186549.79,CASH_OUT,0
C2086229320,C1654662784,79042.15,CASH_OUT,0
C315487150,M1717055694,5055.72,PAYMENT,0
C1235787929,M1043686153,12020.77,PAYMENT,0
C979213321,C787242927,123326.84,CASH_IN,0
C1653380908,M77882578,14241.21,PAYMENT,0
C1099535493,M933507080,23480.16,PAYMENT,0
C2147063789,C1021587874,195205.19,CASH_IN,0
C237037918,C95318372,145319.54,CASH_OUT,0
C1496903190,M946866772,14270.03,PAYMENT,0
C1051106607,M1348761534,6851.17,PAYMENT,0
C731717743,C148906605,296959.67,CASH_IN,0
C1410677661,C704312950,166630.9,CASH_IN,0
C677811242,C788874634,165135.41,CASH_IN,0
C74556831,M1951402325,1704.03,PAYMENT,0
C41573174,C860929789,390903.09,CASH_IN,0
C40966245,M1653653617,21061.24,PAYMENT,0
C40866646,M182944108,8129.46,PAYMENT,0
C1321671140,M533921438,6492.32,PAYMENT,0
C1322294401,C160609026,16242.22,CASH_OUT,0
C998029122,C1563899518,286864.49,CASH_OUT,0
C710908433,C508488713,147351.57,CASH_IN,0
C1977482177,C1554823726,21362.19,TRANSFER,0
C1345262134,M1183610480,16871.75,PAYMENT,0
C952906355,C1084012188,88826.43,CASH_OUT,0
C174212239,M1265795703,38509.2,PAYMENT,0
C239144018,M1684201690,7301.4,PAYMENT,0
C1577059714,M1955312313,51907.16,PAYMENT,0
C1370498771,M301320628,343.06,PAYMENT,0
C1542135254,C1938475526,24413.46,CASH_OUT,0
C923977418,C779506402,125568.72,CASH_OUT,0
C1009192782,C1015529677,203321.66,CASH_OUT,0
C1418729422,M1996394103,7452.27,PAYMENT,0
C2029840344,C2142547587,117253.94,CASH_IN,0
C731563967,C914957636,16500.28,CASH_OUT,0
C1515172243,M849428673,25380.11,PAYMENT,0
C1025174837,C1337597412,95623.45,CASH_OUT,0
C1358412469,C1995332832,122899.15,CASH_IN,0
C1144246806,C87426661,255661.72,CASH_IN,0
